AREA,AG HOMING,PORT 1,PORT 2
SLZ,BACOOR-SL565-AGGFMN-X16A-01,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-01,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
VIS,LAHUG-VIS148-AGGFMN-X16A-01,Virtual-Ethernet11/0/0,Virtual-Ethernet11/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,VALERO-NCR733-AGGFMN-X16A-01,Virtual-Ethernet9/0/0,Virtual-Ethernet9/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NLZ,TARLAC-NL1576-AGGFMN-X16A-01,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
NCR,SANJUAN-NCR1660-AGGFMN-X16A-01,Virtual-Ethernet2/0/0,Virtual-Ethernet2/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-01,Virtual-Ethernet2/0/0,Virtual-Ethernet2/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,CARMONA-SL590-AGGFMN-X16A-01,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
MIN,ILIGAN-MIN826-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-01,Virtual-Ethernet2/0/0,Virtual-Ethernet2/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
VIS,LAHUG-VIS148-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,VALERO-NCR733-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NLZ,TARLAC-NL1576-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,SANJUAN-NCR1660-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
SLZ,CARMONA-SL590-AGGFMN-X16A-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
MIN,ILIGAN-MIN826-TRS_DC_AGG-R0-01,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-01,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-01,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,CANMSC-FMAGG-001-NCR1387,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,CANMSC-FMAGG-001-NCR1387,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,SNJUAN-FMAGG-001-NCR1660,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,THEODR-FMAGG-001-NCR4101,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,THEODR-FMAGG-001-NCR4101,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
MIN,ALWANA-FMAGG-001-MIN1092,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
MIN,DAVCLS-FMAGG-001-MIN2031,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
MIN,ALWANA-FMAGG-001-MIN1092,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
VIS,LAHUG1-FMAGG-001-VIS148,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
VIS,LAHUG1-FMAGG-001-VIS148,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
VIS,FORDBC-FMAGG-001-VIS817,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
VIS,JMBASA-FMAGG-001-VIS927,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,BACOOR-FMAGG-001-SL565,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,BACOOR-FMAGG-001-SL565,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,CRMMSC-FMAGG-001-SL590,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NLZ,CBNTN1-FMAGG-001-NL1115,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NLZ,CBNTN1-FMAGG-001-NL1115,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NLZ,NWTLVR-FMAGG-001-NL1910,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-02,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-02,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-02,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
VIS,LAHUG-VIS148-AGGFMN-X16A-02,Virtual-Ethernet12/0/0,Virtual-Ethernet12/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet6/0/0,Virtual-Ethernet6/0/1
NCR,VALERO-NCR733-AGGFMN-X16A-02,Virtual-Ethernet9/0/0,Virtual-Ethernet9/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet6/0/0,Virtual-Ethernet6/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NLZ,TARLAC-NL1576-AGGFMN-X16A-02,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
NCR,SANJUAN-NCR1660-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-02,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet6/0/0,Virtual-Ethernet6/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet6/0/0,Virtual-Ethernet6/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet6/0/0,Virtual-Ethernet6/0/1
SLZ,CARMONA-SL590-AGGFMN-X16A-02,Virtual-Ethernet10/0/0,Virtual-Ethernet10/0/1
MIN,ILIGAN-MIN826-TRS_DC_AGG-R0-02,Virtual-Ethernet3/0/0,Virtual-Ethernet3/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet6/0/0,Virtual-Ethernet6/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
SLZ,BACOOR-SL565-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
VIS,LAHUG-VIS148-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,VALERO-NCR733-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NLZ,TARLAC-NL1576-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,SANJUAN-NCR1660-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NLZ,CABANATUAN-NL1115-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
SLZ,CARMONA-SL590-AGGFMN-X16A-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
MIN,ILIGAN-MIN826-TRS_DC_AGG-R0-02,Virtual-Ethernet5/0/0,Virtual-Ethernet5/0/1
NCR,AURORA-NCR206-TRS_DC_AGG-R0-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANERO-NCR1387-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
MIN,CDO-MIN1092-AGGFMN-X16A-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
VIS,TALISAY-VIS2021-TRS_DC_AGG-R0-02,Virtual-Ethernet4/0/0,Virtual-Ethernet4/0/1
NCR,CANMSC-FMAGG-002-NCR1387,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,CANMSC-FMAGG-002-NCR1387,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,SNJUAN-FMAGG-002-NCR1660,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,THEODR-FMAGG-002-NCR4101,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NCR,THEODR-FMAGG-002-NCR4101,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
MIN,ALWANA-FMAGG-002-MIN1092,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
MIN,DAVCLS-FMAGG-002-MIN2031,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
MIN,ALWANA-FMAGG-002-MIN1092,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
VIS,LAHUG1-FMAGG-002-VIS148,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
VIS,LAHUG1-FMAGG-002-VIS148,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
VIS,FORDBC-FMAGG-002-VIS817,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
VIS,JMBASA-FMAGG-002-VIS927,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,BACOOR-FMAGG-002-SL565,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,BACOOR-FMAGG-002-SL565,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
SLZ,CRMMSC-FMAGG-002-SL590,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NLZ,CBNTN1-FMAGG-002-NL1115,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NLZ,CBNTN1-FMAGG-002-NL1115,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
NLZ,NWTLVR-FMAGG-002-NL1910,Virtual-Ethernet1/0/0,Virtual-Ethernet1/0/1
